,Round,Date,Account name,Campaign group name,Campaign name,Total spent,Impressions,Clicks,Leads
0,,2024-02-01 00:00:00,Tovuti LinkedIn Ad Account,"Boost_Post_Website Visits_Feb 1, 2024",Feb 8 SMB Live Demo [Boost],134.04,3345,9,0
1,,2024-02-01 00:00:00,Tovuti LinkedIn Ad Account,Lead Gen Campaign. ,Lead Gen Form Campaign V 1.0,38.7,124,1,0
2,,2024-02-01 00:00:00,Tovuti LinkedIn Ad Account,Message Ad Group V 1.0,ENT Message AD Rob V2.0,75.36,208,109,0
3,,2024-02-01 00:00:00,Tovuti LinkedIn Ad Account,Message Ad Group V 1.0,Federal Message Ads,0,0,9,0
4,,2024-02-01 00:00:00,Tovuti LinkedIn Ad Account,Message Ad Group V 1.0,Jan 18th Webinar Message Invite,0,0,5,0
5,,2024-02-01 00:00:00,Tovuti LinkedIn Ad Account,Tovuti Live Demo Webinar,Feb 8 SMB Live Demo,63.84,639,7,0
6,,2024-02-01 00:00:00,Tovuti LinkedIn Ad Account,Webinar Lead Gen,Feb 8 SMB Live Demo [Lead Form],126.12,720,5,0
7,,2024-02-02 00:00:00,Tovuti LinkedIn Ad Account,"Boost_Post_Website Visits_Feb 1, 2024",Feb 8 SMB Live Demo [Boost],131.39,3112,10,0
8,,2024-02-02 00:00:00,Tovuti LinkedIn Ad Account,Lead Gen Campaign. ,Lead Gen Form Campaign V 1.0,46.04,72,1,0
9,,2024-02-02 00:00:00,Tovuti LinkedIn Ad Account,Message Ad Group V 1.0,ENT Message AD Rob V2.0,73.08,215,131,0
10,,2024-02-02 00:00:00,Tovuti LinkedIn Ad Account,Message Ad Group V 1.0,Federal Message Ads,0,0,6,0
11,,2024-02-02 00:00:00,Tovuti LinkedIn Ad Account,Message Ad Group V 1.0,Jan 18th Webinar Message Invite,0,0,3,0
12,,2024-02-02 00:00:00,Tovuti LinkedIn Ad Account,Ondemand Webinar,Ent/Fed Ondemand [Nov 9 Live],115.48,36663,57,0
13,,2024-02-02 00:00:00,Tovuti LinkedIn Ad Account,Ondemand Webinar,SMB Ondemand [Dec 21 Live],106.67,18883,100,0
14,,2024-02-02 00:00:00,Tovuti LinkedIn Ad Account,Tovuti Live Demo Webinar,Feb 8 SMB Live Demo,57.84,497,1,0
15,,2024-02-02 00:00:00,Tovuti LinkedIn Ad Account,Webinar Lead Gen,Feb 8 SMB Live Demo [Lead Form],119.33,643,5,0
16,,2024-02-03 00:00:00,Tovuti LinkedIn Ad Account,"Boost_Post_Website Visits_Feb 1, 2024",Feb 8 SMB Live Demo [Boost],96.96,1590,3,0
17,,2024-02-03 00:00:00,Tovuti LinkedIn Ad Account,Lead Gen Campaign. ,Lead Gen Form Campaign V 1.0,24.12,38,1,0
18,,2024-02-03 00:00:00,Tovuti LinkedIn Ad Account,Message Ad Group V 1.0,ENT Message AD Rob V2.0,53.38,120,56,0
19,,2024-02-03 00:00:00,Tovuti LinkedIn Ad Account,Message Ad Group V 1.0,Federal Message Ads,0,0,2,0
20,,2024-02-03 00:00:00,Tovuti LinkedIn Ad Account,Message Ad Group V 1.0,Jan 18th Webinar Message Invite,0,0,1,0
21,,2024-02-03 00:00:00,Tovuti LinkedIn Ad Account,Ondemand Webinar,Ent/Fed Ondemand [Nov 9 Live],92.05,14315,61,0
22,,2024-02-03 00:00:00,Tovuti LinkedIn Ad Account,Ondemand Webinar,SMB Ondemand [Dec 21 Live],80.41,21609,164,0
23,,2024-02-03 00:00:00,Tovuti LinkedIn Ad Account,Tovuti Live Demo Webinar,Feb 8 SMB Live Demo,44.39,397,1,0
24,,2024-02-03 00:00:00,Tovuti LinkedIn Ad Account,Webinar Lead Gen,Feb 8 SMB Live Demo [Lead Form],86.7,355,0,0
25,,2024-02-04 00:00:00,Tovuti LinkedIn Ad Account,"Boost_Post_Website Visits_Feb 1, 2024",Feb 8 SMB Live Demo [Boost],89.76,1060,2,0
26,,2024-02-04 00:00:00,Tovuti LinkedIn Ad Account,Lead Gen Campaign. ,Lead Gen Form Campaign V 1.0,26.53,43,0,0
27,,2024-02-04 00:00:00,Tovuti LinkedIn Ad Account,Message Ad Group V 1.0,ENT Message AD Rob V2.0,49.42,112,61,0
28,,2024-02-04 00:00:00,Tovuti LinkedIn Ad Account,Message Ad Group V 1.0,Federal Message Ads,0,0,1,0
29,,2024-02-04 00:00:00,Tovuti LinkedIn Ad Account,Message Ad Group V 1.0,Jan 18th Webinar Message Invite,0,0,1,0
